siteCode;plotCode;Genus;Species;individualCode;coordinateX;coordinateY;FenelogicalType
SD;L26;Cistus;libanotis;SDL26HB1;-1;-1;ND
SD;L26;Cistus;libanotis;SDL26HB2;-1;-1;ND
SD;L26;Cistus;libanotis;SDL26HB3;-1;-1;ND
SD;L13;Cistus;salviifolius;SDL13CS1;-1;-1;ND
SD;L13;Cistus;salviifolius;SDL13CS2;-1;-1;ND
SD;L13;Cistus;salviifolius;SDL13CS3;-1;-1;ND
SD;L19;Corema;album;SDL19C3;-1;-1;ND
SD;L19;Corema;album;SDL19C1;-1;-1;ND
SD;L19;Corema;album;SDL19C2;-1;-1;ND
SD;L23;Corema;album;SDL23C1;-1;-1;ND
SD;L23;Corema;album;SDL23C2;-1;-1;ND
SD;L23;Corema;album;SDL23C3;-1;-1;ND
SD;L30;Corema;album;SDL30C1;-1;-1;ND
SD;L30;Corema;album;SDL30C2;-1;-1;ND
SD;L30;Corema;album;SDL30C3;-1;-1;ND
SD;L5;Corema;album;SDL5C1;-1;-1;ND
SD;L5;Corema;album;SDL5C6;-1;-1;ND
SD;L5;Corema;album;SDL5C7;-1;-1;ND
SD;L1;Erica;scoparia;SDL1E4;-1;-1;ND
SD;L1;Erica;scoparia;SDL1E6;-1;-1;ND
SD;L1;Erica;scoparia;SDL1E7;-1;-1;ND
SD;L12;Erica;scoparia;SDL12E1;-1;-1;ND
SD;L12;Erica;scoparia;SDL12E2;-1;-1;ND
SD;L12;Erica;scoparia;SDL12E3;-1;-1;ND
SD;L13;Erica;scoparia;SDL13E1;-1;-1;ND
SD;L13;Erica;scoparia;SDL13E2;-1;-1;ND
SD;L13;Erica;scoparia;SDL13E3;-1;-1;ND
SD;L16;Erica;scoparia;SDL16E1;-1;-1;ND
SD;L16;Erica;scoparia;SDL16E3;-1;-1;ND
SD;L16;Erica;scoparia;SDL16E5;-1;-1;ND
SD;L18;Erica;scoparia;SDL18E1;-1;-1;ND
SD;L18;Erica;scoparia;SDL18E2;-1;-1;ND
SD;L18;Erica;scoparia;SDL18E3;-1;-1;ND
SD;L20;Erica;scoparia;SDL20E1;-1;-1;ND
SD;L20;Erica;scoparia;SDL20E2;-1;-1;ND
SD;L20;Erica;scoparia;SDL20E3;-1;-1;ND
SD;L3;Erica;scoparia;SDL3E1;-1;-1;ND
SD;L3;Erica;scoparia;SDL3E2;-1;-1;ND
SD;L3;Erica;scoparia;SDL3E3;-1;-1;ND
SD;L30;Erica;scoparia;SDL30E1;-1;-1;ND
SD;L30;Erica;scoparia;SDL30E2;-1;-1;ND
SD;L30;Erica;scoparia;SDL30E3;-1;-1;ND
SD;L5;Erica;scoparia;SDL5E1;-1;-1;ND
SD;L5;Erica;scoparia;SDL5E2;-1;-1;ND
SD;L5;Erica;scoparia;SDL5E3;-1;-1;ND
SD;L6;Erica;scoparia;SDL6E1;-1;-1;ND
SD;L6;Erica;scoparia;SDL6E2;-1;-1;ND
SD;L6;Erica;scoparia;SDL6E3;-1;-1;ND
SD;L7;Erica;scoparia;SDL7E1;-1;-1;ND
SD;L7;Erica;scoparia;SDL7E2;-1;-1;ND
SD;L7;Erica;scoparia;SDL7E3;-1;-1;ND
SD;L8;Erica;scoparia;SDL8E1;-1;-1;ND
SD;L8;Erica;scoparia;SDL8E2;-1;-1;ND
SD;L8;Erica;scoparia;SDL8E3;-1;-1;ND
SD;L16;Halimium;calycinum;SDL16HC2;-1;-1;ND
SD;L16;Halimium;calycinum;SDL16HC32;-1;-1;ND
SD;L16;Halimium;calycinum;SDL16HC63;-1;-1;ND
SD;L19;Halimium;calycinum;SDL19HC1;-1;-1;ND
SD;L19;Halimium;calycinum;SDL19HC2;-1;-1;ND
SD;L19;Halimium;calycinum;SDL19HC3;-1;-1;ND
SD;L23;Halimium;calycinum;SDL23HC1;-1;-1;ND
SD;L23;Halimium;calycinum;SDL23HC2;-1;-1;ND
SD;L23;Halimium;calycinum;SDL23HC3;-1;-1;ND
SD;L24;Halimium;calycinum;SDL24HC12;-1;-1;ND
SD;L24;Halimium;calycinum;SDL24HC6;-1;-1;ND
SD;L24;Halimium;calycinum;SDL24HC7;-1;-1;ND
SD;L25;Halimium;calycinum;SDL25HC2;-1;-1;ND
SD;L25;Halimium;calycinum;SDL25HC41;-1;-1;ND
SD;L25;Halimium;calycinum;SDL25HC54;-1;-1;ND
SD;L26;Halimium;calycinum;SDL26HC1;-1;-1;ND
SD;L26;Halimium;calycinum;SDL26HC2;-1;-1;ND
SD;L26;Halimium;calycinum;SDL26HC3;-1;-1;ND
SD;L30;Halimium;calycinum;SDL30HC1;-1;-1;ND
SD;L30;Halimium;calycinum;SDL30HC2;-1;-1;ND
SD;L30;Halimium;calycinum;SDL30HC3;-1;-1;ND
SD;L1;Halimium;halimifolium;SDL1HH11;-1;-1;ND
SD;L1;Halimium;halimifolium;SDL1HH14;-1;-1;ND
SD;L1;Halimium;halimifolium;SDL1HH8;-1;-1;ND
SD;L13;Halimium;halimifolium;SDL13HH1;-1;-1;ND
SD;L13;Halimium;halimifolium;SDL13HH2;-1;-1;ND
SD;L13;Halimium;halimifolium;SDL13HH3;-1;-1;ND
SD;L16;Halimium;halimifolium;SDL16HH12;-1;-1;ND
SD;L16;Halimium;halimifolium;SDL16HH29;-1;-1;ND
SD;L16;Halimium;halimifolium;SDL16HH44;-1;-1;ND
SD;L19;Halimium;halimifolium;SDL19HH1;-1;-1;ND
SD;L19;Halimium;halimifolium;SDL19HH2;-1;-1;ND
SD;L19;Halimium;halimifolium;SDL19HH3;-1;-1;ND
SD;L20;Halimium;halimifolium;SDL20HH1;-1;-1;ND
SD;L20;Halimium;halimifolium;SDL20HH2;-1;-1;ND
SD;L20;Halimium;halimifolium;SDL20HH3;-1;-1;ND
